Athlete ID,competition_scope,championship,season_note
AT_AB_P_2503,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_P_2527,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_P_4239,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_RA_0097,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_RA_2500,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_RA_5350,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_RA_7584,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_RE_5356,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_R_0100,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SA_0070,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SA_0088,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SA_2506,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SA_2510,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SA_5355,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SH_0024,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SH_6931,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SI_0065,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SI_0079,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SI_0089,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SI_0090,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SI_0091,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SI_2501,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SI_2505,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SI_2514,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SI_4319,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SI_4328,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SI_5354,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SI_6189,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SR_0075,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SR_0098,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SR_4330,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SU_2508,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_SU_4318,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_S_0077,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_S_4332,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_TO_6029,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_TY_2502,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_XX_0045,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_XX_0071,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_XX_0082,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_XX_2511,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_XX_4094,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_XX_6118,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_XX_6929,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_YA_0076,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_YA_0092,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_YA_4329,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AC_XX_0102,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_AJ_0025,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_AJ_0113,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_AY_4095,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_BA_2535,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_C_0104,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_DA_6199,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_D_2544,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_FA_6934,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_GA_3034,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_GH_4335,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_GO_0105,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_HA_0112,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_KH_4340,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_KU_0106,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_KU_0119,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_KU_2536,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_KU_2538,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_KU_5362,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_LO_2537,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_MA_0107,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_MA_0108,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_MA_6197,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_N_2533,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_PA_0109,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_PA_0121,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_PA_0122,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_PA_2539,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_PA_4333,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_PA_6943,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_PI_4229,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_PR_6031,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_P_0115,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_RA_0123,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_RA_2540,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_RA_2541,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_RI_2530,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_R_0116,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_SA_2531,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_SA_6202,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_SI_2542,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_SI_5361,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_SI_6198,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_SI_6936,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_SI_7137,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_S_0117,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_VA_2543,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_VI_7425,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_V_5366,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_WA_0110,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_XX_0118,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_XX_4336,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_XX_5360,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_XX_5365,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_XX_6941,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AD_YA_2532,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AE_PR_0124,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AF_AH_0126,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AF_AL_0127,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AF_AN_0128,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AF_AN_4343,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AF_KH_6203,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AF_MU_0125,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AF_PU_4234,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AG_MA_6204,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AG_PR_4096,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AG_T_2546,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AH_AL_4097,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AH_K_4344,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AH_RI_2547,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AH_XX_0129,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_BI_6206,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_GU_5369,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_HI_6419,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_KA_2548,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_KA_4346,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_MA_0132,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_MI_0133,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_NE_4347,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_PM_4348,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_RO_5368,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_R_0134,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_SU_0135,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_UP_6948,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_XX_0130,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AI_XX_6205,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_BI_0137,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_DO_0148,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_G_2559,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_JO_5370,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_KU_0139,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_KU_0140,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_KU_0141,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_KU_0142,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_KU_0143,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_KU_0144,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_KU_0145,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_KU_0146,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_KU_0150,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_KU_0151,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_KU_2556,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_KU_2558,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_KU_4349,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_K_6949,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_PR_2550,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_RA_2551,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_R_0147,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_R_2557,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_SA_2552,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_SH_4351,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_SI_0138,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_SI_2555,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_SI_5371,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_SI_5372,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_VA_4235,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_VI_2553,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_VI_2554,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_XX_0136,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_XX_0149,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_XX_2549,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_XX_4098,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AJ_XX_6954,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_AN_4101,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_AV_6225,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_A_6218,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_BA_6960,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_BH_0158,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_BH_6209,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_CH_0178,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_DA_4361,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_DA_6210,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_DE_4364,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_DH_2576,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_DU_2562,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_GH_2579,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_GR_4353,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_J_4362,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_KA_2564,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_KR_2587,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_KU_0155,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_KU_0159,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_KU_0160,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_KU_2566,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_KU_2573,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_KU_2580,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_KU_2581,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_KU_4355,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_KU_6955,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_K_2572,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_K_2575,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_K_4357,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_K_5376,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_MA_2583,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_MA_4103,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_MA_5381,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_MO_0168,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_MU_6956,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_M_0161,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_M_0181,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_M_0184,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_NA_2107,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_PA_0156,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_PA_6214,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_PE_2567,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_PR_0165,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_RA_0169,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_RA_2568,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_RA_2584,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_RA_5377,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_R_6957,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_SA_0162,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_SH_2582,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_SH_2586,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_SH_3194,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_SI_0183,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_SI_2571,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_SI_4100,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_S_0172,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_S_0182,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_S_2569,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_S_2570,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_S_4102,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_S_4356,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_TV_2574,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_T_0170,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_VA_0163,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_VA_5382,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_XX_0154,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AK_XX_0157,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
